Cn,Ct,ec (cm3),ep (KW),Ewltp (g/km)
NISSAN JUKE,M1,999.0,84.0,138.0
ZOE,M1,,51.0,0.0
GLB,M1,1991.0,165.0,192.0
DUSTER,M1,999.0,74.0,128.0
FIAT TIPO,M1,999.0,73.0,125.0
SANDERO,M1,999.0,67.0,121.0
C-HR,M1,1798.0,72.0,110.0
EQ FORTWO COUPE,M1,,41.0,0.0
CORSA,M1,1499.0,75.0,104.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,77.0
XC90,M1G,1969.0,223.0,64.0
OCTAVIA,M1,1498.0,110.0,132.0
MOKKA,M1,1199.0,96.0,137.0
T-CROSS,M1,1498.0,110.0,137.0
CROSSLAND,M1,1199.0,81.0,131.0
CLIO E-TECH HYBRID,M1,1598.0,67.0,83.0
i 30,M1,1498.0,80.0,139.0
SORENTO,M1,1598.0,,38.0
TOURAN,M1,1968.0,90.0,133.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
3008,M1,1499.0,96.0,137.0
PANDA,M1,999.0,52.0,118.0
POLO,M1,999.0,70.0,122.0
KAMIQ,M1,999.0,70.0,129.0
EQ FORTWO COUPE,M1,,41.0,0.0
T-ROC,M1,1498.0,110.0,154.0
CUPRA LEON E-HYBRID180,M1,1395.0,110.0,30.0
OCTAVIA RS,M1,1968.0,147.0,132.0
I10,M1,1197.0,62.0,129.0
SWIFT,M1,1197.0,,106.0
FORMENTOR,M1,1968.0,110.0,156.0
KAMIQ,M1,999.0,70.0,129.0
LOGAN,M1,999.0,67.0,128.0
KOMBI,M1,1968.0,81.0,184.0
C3,M1,1499.0,75.0,111.0
ALHAMBRA,M1,1395.0,110.0,197.0
MAZDA2,M1,1496.0,66.0,120.0
A1 SPORTBACK,M1,999.0,81.0,124.0
C-HR,M1,1798.0,72.0,110.0
CLIO,M1,999.0,67.0,118.0
OCTAVIA RS,M1,1984.0,180.0,158.0
I20,M1,998.0,88.0,120.0
GRANDLAND X,M1,1499.0,96.0,130.0
911 CARRERA 4S,M1,2981.0,331.0,244.0
X5 xDrive30d,M1G,2993.0,210.0,191.0
TWINGO,M1,999.0,48.0,117.0
XC60,M1G,1969.0,186.0,57.0
EQ FORTWO COUPE,M1,,41.0,0.0
YARIS,M1,998.0,53.0,128.0
TOYOTA YARIS,M1,1490.0,68.0,97.0
FOCUS,M1,999.0,92.0,136.0
A1,M1,999.0,81.0,134.0
SERIE 1,M1,1499.0,80.0,135.0
3008,M1,1199.0,96.0,140.0
COMPASS,M1,1332.0,110.0,156.0
SEAT LEON,M1,1968.0,85.0,113.0
C-HR,M1,1798.0,72.0,111.0
KADJAR,M1,1332.0,116.0,140.0
CLIO E-TECH HYBRID,M1,1598.0,67.0,100.0
X-TRAIL,M1,1332.0,116.0,162.0
C3,M1,1499.0,75.0,112.0
FIESTA,M1,999.0,92.0,119.0
NISSAN JUKE,M1,999.0,84.0,143.0
PANDA,M1,999.0,52.0,123.0
PASSAT,M1,1395.0,115.0,31.0
TWINGO,M1,,31.0,0.0
C-HR,M1,1798.0,72.0,111.0
C3 AIRCROSS,M1,1199.0,81.0,134.0
PASSAT,M1,1395.0,115.0,27.0
NIRO,M1,1580.0,77.0,110.0
TUCSON,M1,1598.0,110.0,153.0
KAROQ,M1,1598.0,85.0,155.0
I3S,M1,,75.0,0.0
CLIO,M1,1461.0,74.0,107.0
KAMIQ,M1,999.0,81.0,134.0
KADJAR,M1,1461.0,85.0,136.0
2008,M1,1199.0,96.0,124.0
ECOSPORT,M1,1499.0,70.0,129.0
XCeed,M1,1580.0,77.0,38.0
GOLF,M1,1968.0,147.0,140.0
NISSAN QASHQAI,M1,1461.0,85.0,145.0
CLIO,M1,1598.0,67.0,99.0
CLIO,M1,999.0,67.0,118.0
XC90,M1G,1969.0,173.0,179.0
IBIZA,M1,999.0,66.0,108.0
MINI,M1,1998.0,131.0,140.0
FIAT 500,M1,999.0,52.0,116.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,125.0
COUNTRYMAN COOPER,M1,1499.0,100.0,147.0
E-TRON 50,M1,,158.0,0.0
POLO,M1,999.0,70.0,120.0
FOCUS,M1,1499.0,88.0,113.0
ONE,M1,1499.0,55.0,128.0
RIO,M1,998.0,73.0,123.0
A4 Avant,M1,1984.0,110.0,144.0
X4 M,M1,2993.0,353.0,260.0
CORSA,M1,1199.0,74.0,119.0
CIVIC,M1,988.0,93.0,137.0
ARONA,M1,999.0,81.0,120.0
ZOE,M1,,51.0,0.0
GRANDLAND X,M1,1199.0,96.0,146.0
208,M1,1199.0,74.0,122.0
CLIO,M1,999.0,67.0,117.0
EQ FORTWO COUPE,M1,,41.0,0.0
3,M1,1998.0,90.0,127.0
Ceed,M1,998.0,73.0,119.0
SUPERB,M1,1968.0,110.0,135.0
ABARTH 500,M1,1368.0,132.0,156.0
B 200 D,M1,1950.0,110.0,132.0
e-tron 55,M1,,300.0,0.0
X1 XDRIVE 25D,M1,1995.0,170.0,154.0
2008,M1,1199.0,96.0,136.0
SPRING,M1,,18.0,0.0
MOKKA,M1,,100.0,0.0
RANGE ROVER EVOQUE,M1G,1498.0,147.0,199.0
CLIO,M1,1598.0,67.0,98.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,115.0
ARONA,M1,999.0,66.0,103.0
NISSAN JUKE,M1,999.0,84.0,134.0
PROACE CITY VERSO,M1,1199.0,96.0,149.0
N208,M1,1199.0,96.0,122.0
ARONA,M1,999.0,66.0,103.0
5008,M1,1499.0,96.0,134.0
TOYOTA COROLLA,M1,1987.0,112.0,119.0
CROSSLAND,M1,1499.0,81.0,120.0
YARIS,M1,1490.0,68.0,88.0
KORANDO,M1,1497.0,120.0,182.0
NISSAN QASHQAI,M1,1461.0,85.0,142.0
PROACE,M1,1499.0,96.0,138.0
CAPTUR E-TECH PLUG-IN HYBRID,M1,1598.0,68.0,35.0
NUEVO,M1,1199.0,61.0,124.0
208,M1,1199.0,74.0,122.0
Ceed,M1,998.0,88.0,132.0
N 3008,M1,1499.0,96.0,130.0
GOLF,M1,1968.0,110.0,117.0
ZOE,M1,,51.0,0.0
SANDERO,M1,999.0,67.0,109.0
FIAT 500L,M1,1368.0,70.0,165.0
GOLF,M1,1498.0,96.0,125.0
TUCSON IX35,M1,1598.0,110.0,146.0
2008,M1,1199.0,96.0,136.0
E-TRON 50,M1,,158.0,0.0
FIESTA,M1,999.0,92.0,115.0
OCTAVIA,M1,1498.0,110.0,125.0
PUMA,M1,999.0,114.0,128.0
GRANDLAND,M1,1199.0,96.0,147.0
QASHQAI,M1,1332.0,103.0,144.0
A3 SPORTBACK,M1,1498.0,110.0,130.0
KONA,M1,1580.0,77.0,123.0
LEAF 40KWH,M1,,85.0,0.0
OCTAVIA,M1,1498.0,110.0,131.0
HAVAL H2W GPL,,1497.0,106.0,
208,M1,1199.0,74.0,122.0
FIESTA,M1,999.0,70.0,120.0
STONIC,M1,1197.0,62.0,129.0
OCTAVIA,M1,1498.0,110.0,121.0
X1 SDRIVE 18I,M1,1499.0,100.0,146.0
208,M1,1499.0,75.0,105.0
X6 XDRIVE40I,M1G,2998.0,245.0,201.0
V-KLASSE,M1,1950.0,120.0,202.0
IONIQ,M1,1580.0,77.0,26.0
KAROQ,M1,1968.0,110.0,147.0
PANDA,M1,999.0,52.0,115.0
KUGA,M1,1499.0,88.0,141.0
SANDERO,M1,999.0,67.0,131.0
C4,M1,1199.0,96.0,131.0
C3,M1,1199.0,61.0,123.0
Kona,M1,,150.0,0.0
KAMIQ,M1,999.0,81.0,124.0
YPSILON,M1,999.0,52.0,111.0
DS 4,M1,1199.0,96.0,137.0
RIO,M1,1197.0,62.0,131.0
SERIE X,M1G,2998.0,210.0,29.0
2008,M1,,57.0,0.0
COROLLA,M1,1798.0,72.0,97.0
Puma,M1,999.0,,126.0
STONIC,M1,998.0,88.0,119.0
VITARA,M1,1373.0,95.0,121.0
330D XDRIVE,M1,2993.0,210.0,147.0
FIAT 500L,M1,1248.0,70.0,126.0
YARIS,M1,1490.0,68.0,97.0
Ceed,M1,998.0,73.0,128.0
ENYAQ 80,M1,,150.0,0.0
Q5 50 TFSI E,M1,1984.0,195.0,38.0
2008,M1,1199.0,96.0,134.0
Q3 SPORTBACK,M1,1968.0,147.0,176.0
ASTRA SPORTS TOURER+,M1,1199.0,81.0,123.0
C3,M1,1199.0,81.0,135.0
LOGAN,M1,999.0,67.0,117.0
ASTRA+,M1,1199.0,96.0,120.0
XC60,M1,1969.0,145.0,158.0
SPORTAGE,M1,1598.0,100.0,146.0
TIGUAN,M1,1968.0,110.0,145.0
2008,M1,1199.0,96.0,127.0
UP!,M1,999.0,48.0,117.0
FORMENTOR,M1,1498.0,110.0,151.0
PASSAT,M1,1968.0,110.0,135.0
CEED,M1,1598.0,100.0,119.0
CLA 180 d,M1,1950.0,85.0,129.0
TIGUAN,M1,1968.0,147.0,178.0
I 30,M1,998.0,88.0,122.0
CAPTUR,M1,999.0,67.0,134.0
PUMA,M1,999.0,91.0,127.0
C3,M1,1199.0,81.0,133.0
TOYOTA RAV4,M1,2487.0,136.0,149.0
KAROQ,M1,1498.0,110.0,144.0
T-CROSS,M1,999.0,70.0,131.0
Q4 40 E-TRON,M1,,70.0,0.0
C5 AIRCROSS,M1,1499.0,96.0,138.0
NISSAN QASHQAI,M1,1332.0,103.0,143.0
Q5,M1,1968.0,150.0,179.0
BERLINGO,M1,1499.0,75.0,136.0
208,M1,1199.0,55.0,119.0
CLIO,M1,999.0,67.0,118.0
EV6,M1,,56.0,0.0
C3,M1,1499.0,75.0,111.0
COMPASS,M1,1332.0,110.0,158.0
T-CROSS,M1,999.0,70.0,132.0
CX-30,M1,1998.0,132.0,160.0
SWIFT,M1,1197.0,61.0,106.0
SERIE 2,M1,1499.0,100.0,136.0
KOMBI,M1,1968.0,110.0,216.0
SCALA,M1,999.0,85.0,137.0
CORSA,M1,1199.0,74.0,117.0
CLIO,M1,1461.0,74.0,108.0
TRANSIT CUSTOM,M1,1995.0,96.0,197.0
530e,M1,1998.0,135.0,36.0
SANDERO,M1,999.0,67.0,128.0
EV6,M1,,168.0,0.0
I30,M1,998.0,88.0,133.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
POLO,M1,999.0,70.0,132.0
CAPTUR,M1,1598.0,68.0,35.0
TOYOTA COROLLA,M1,1798.0,72.0,103.0
CLIO,M1,999.0,67.0,117.0
V-KLASSE,M1,1950.0,174.0,223.0
RANGE ROVER SPORT,M1G,1997.0,221.0,83.0
COMPASS,M1,1598.0,96.0,138.0
CLIO,M1,999.0,67.0,123.0
KODIAQ,M1,1498.0,110.0,158.0
118I,M1,1499.0,100.0,131.0
RAV4,M1,2487.0,131.0,126.0
CAPTUR,M1,1332.0,103.0,132.0
SERIE 1,M1,1496.0,85.0,122.0
SANDERO,M1,999.0,67.0,132.0
CAPTUR,M1,1332.0,103.0,135.0
C 220 D,M1,1993.0,147.0,141.0
CAPTUR,M1,999.0,67.0,133.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,113.0
TIGUAN,M1G,1984.0,140.0,190.0
X3,M1G,1995.0,140.0,158.0
SANDERO,M1,999.0,67.0,115.0
E 220 D 4MATIC,M1,1950.0,143.0,148.0
i10,M1,998.0,49.0,110.0
KAMIQ,M1,999.0,81.0,134.0
ARONA,M1,999.0,66.0,106.0
SX4,M1,1373.0,95.0,141.0
NIRO,M1,,,0.0
CORSA,M1,1199.0,55.0,117.0
T-ROC,M1,1498.0,110.0,145.0
DUSTER,M1,999.0,67.0,146.0
GLE 350 E 4MATIC COUPE,M1G,1991.0,155.0,24.0
XCeed,M1,998.0,88.0,137.0
COMPASS,M1,1332.0,110.0,151.0
FIAT 500,M1,999.0,51.0,119.0
Mitsubishi Outlander,M1,2360.0,99.0,46.0
TOURAN,M1,1498.0,110.0,150.0
TOYOTA C-HR,M1,1987.0,112.0,119.0
FIESTA,M1,1084.0,55.0,123.0
GIULIA,M1,1995.0,148.0,168.0
CORSA,M1,,57.0,0.0
500,M1,999.0,51.0,107.0
DUSTER,M1,999.0,67.0,127.0
FIAT 500L,M1,1248.0,70.0,126.0
118D,M1,1995.0,110.0,126.0
OCTAVIA,M1,1968.0,85.0,119.0
MG EHS PLUG-IN HYBRID,M1,1490.0,119.0,43.0
C3,M1,1199.0,61.0,123.0
C3 AIRCROSS,M1,1199.0,96.0,143.0
V-KLASSE,M1,1950.0,174.0,223.0
ARKANA E-TECH,M1,1598.0,69.0,111.0
C3 AIRCROSS,M1,1199.0,81.0,135.0
KONA,M1,1580.0,77.0,113.0
MODEL 3,M1,,153.0,0.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,87.0
POLO,M1,999.0,81.0,136.0
EV6,M1,,168.0,0.0
SANDERO,M1,999.0,74.0,115.0
500,M1,999.0,51.0,119.0
Q3 SPORTBACK,M1,1498.0,110.0,160.0
TWINGO,M1,999.0,48.0,118.0
EV6,M1,,56.0,0.0
MOKKA,M1,1199.0,96.0,126.0
A4 LIMOUSINE,M1,1968.0,120.0,128.0
MUSTANG,M1,5038.0,338.0,270.0
TIGUAN,M1,1968.0,110.0,150.0
ABARTH 500,M1,1368.0,132.0,156.0
A 250 E,M1,1332.0,118.0,22.0
E 220 D 4MATIC,M1,1950.0,143.0,152.0
RENEGADE,M1,1598.0,96.0,136.0
EV6,M1,,168.0,0.0
SCALA,M1,999.0,66.0,98.0
KAMIQ,M1,999.0,81.0,138.0
FIAT 500,M1,,43.0,0.0
208,M1,1499.0,75.0,108.0
T-ROC,M1,1968.0,85.0,123.0
Q5,M1,1984.0,180.0,202.0
POLO,M1,999.0,81.0,125.0
330D,M1,2993.0,210.0,138.0
POLO,M1,999.0,70.0,121.0
3008,M1,1598.0,133.0,31.0
"KONA, KAUAI",M1,,,0.0
118I,M1,1499.0,100.0,131.0
Ceed,M1,998.0,73.0,119.0
X1 XDRIVE20I F48 B48,M1,1998.0,131.0,162.0
Q5,M1,1968.0,120.0,153.0
HR-V,M1,1498.0,96.0,150.0
2008,M1,1199.0,96.0,136.0
SWIFT,M1,1197.0,61.0,123.0
POLO,M1,999.0,70.0,127.0
ASTRA SPORTS TOURER,M1,1496.0,77.0,113.0
FIAT 500,M1,999.0,52.0,116.0
EQA 250,M1,,80.0,0.0
TOYOTA AYGO,M1,998.0,53.0,114.0
911 TURBO S,M1,3745.0,478.0,276.0
V60,M1,1969.0,145.0,146.0
C3 AIRCROSS,M1,1199.0,81.0,135.0
VITARA,M1,1373.0,95.0,121.0
ENYAQ 60,M1,,70.0,0.0
GOLF,M1,,100.0,0.0
DS 7 CROSSBACK,M1,1997.0,130.0,164.0
LOGAN,M1,999.0,74.0,127.0
E 300 DE,M1,1950.0,143.0,36.0
MODEL 3,M1,,153.0,0.0
ARKANA,M1,1332.0,103.0,133.0
MONDEO HYBRID,M1,1999.0,103.0,126.0
AMG GLC 63ES 4MATIC,M1,1991.0,350.0,55.0
PROCEED,M1,1591.0,150.0,154.0
PUMA,M1,1499.0,88.0,119.0
NIRO,M1,1580.0,77.0,31.0
CAPTUR,M1,1332.0,103.0,131.0
KONA,M1,1598.0,100.0,136.0
LOGAN,M1,898.0,66.0,146.0
TOURNEO CONNECT,M1,1499.0,88.0,151.0
Q3,M1,1968.0,110.0,164.0
TOYOTA RAV4,M1,2487.0,131.0,129.0
GOLF,M1,1498.0,110.0,134.0
T-ROC,M1,1968.0,85.0,132.0
KAROQ,M1,1968.0,85.0,131.0
MINI,M1,1496.0,85.0,134.0
TIGUAN,M1,1968.0,110.0,137.0
C5 AIRCROSS,M1,1598.0,133.0,32.0
GOLF,M1,1984.0,180.0,171.0
ECOSPORT,M1,998.0,103.0,136.0
C5,M1,1499.0,96.0,130.0
ASTRA+,M1,1496.0,90.0,132.0
KOMBI,M1,1968.0,110.0,191.0
108,M1,998.0,53.0,110.0
TOYOTA COROLLA,M1,1798.0,72.0,111.0
T-ROC,M1,999.0,81.0,146.0
COUNTRYMAN,M1,1499.0,100.0,149.0
TWINGO,M1,999.0,48.0,117.0
YARIS CROSS,M1,1490.0,68.0,115.0
GOLF,M1,1968.0,85.0,118.0
QASHQAI,M1,1332.0,103.0,145.0
AYGO,M1,998.0,53.0,118.0
PASSAT,M1,1395.0,115.0,29.0
CAPTUR,M1,999.0,67.0,119.0
IBIZA,M1,999.0,70.0,118.0
C-HR,M1,1798.0,72.0,111.0
FOCUS,M1,999.0,92.0,127.0
LEXUS RX450H,M1,3456.0,193.0,178.0
XC40,M1,1477.0,95.0,158.0
CAPTUR,M1,999.0,67.0,133.0
T-CROSS,M1,999.0,81.0,132.0
TWINGO,M1,999.0,48.0,117.0
PANDA,M1,999.0,52.0,109.0
EVO5,,1598.0,93.0,
KODIAQ,M1,1498.0,110.0,157.0
ARTEON,M1,1984.0,235.0,210.0
T-CROSS,M1,999.0,70.0,131.0
X6 XDRIVE 30D,M1G,2993.0,210.0,183.0
COOPER SE,M1,,75.0,0.0
BERLINGO,M1,1499.0,96.0,142.0
OCTAVIA,M1,1968.0,110.0,122.0
MEGANE,M1,1461.0,85.0,124.0
TOURAN,M1,1498.0,110.0,151.0
218I,M1,1499.0,100.0,134.0
530D XDRIVE,M1,2993.0,210.0,157.0
UP!,M1,,61.0,0.0
GRAND SCENIC,M1,1332.0,103.0,149.0
Q3,M1,1968.0,110.0,143.0
GOLF,M1,,100.0,0.0
C3,M1,1199.0,61.0,123.0
C3,M1,1499.0,75.0,109.0
B 200,M1,1332.0,120.0,142.0
IBIZA,M1,999.0,81.0,124.0
FIAT 500L,M1,1368.0,70.0,168.0
X1 XDRIVE18D,M1,1995.0,110.0,148.0
FORMENTOR,M1,1498.0,110.0,144.0
MOKKA,M1,1199.0,74.0,125.0
KOMBI,M1,1968.0,110.0,191.0
SERIE 1,M1,1496.0,85.0,125.0
208,M1,1199.0,74.0,123.0
MODEL 3,M1,,,0.0
Hyundai Bayon,M1,998.0,,120.0
301,M1,1499.0,75.0,114.0
PUMA,M1,999.0,91.0,127.0
"KONA, KAUAI",M1,1580.0,77.0,112.0
A4 AVANT,M1,1968.0,150.0,141.0
BERLINGO,M1,1499.0,75.0,143.0
IBIZA,M1,999.0,81.0,132.0
GOLF,M1,1498.0,110.0,131.0
ATECA,M1,1968.0,110.0,158.0
FOCUS,M1,2261.0,206.0,179.0
Q7 60 TFSI E,M1G,2995.0,250.0,67.0
YARIS,M1,1490.0,68.0,97.0
SANDERO,M1,999.0,49.0,120.0
108,M1,998.0,53.0,111.0
COROLLA,M1,1987.0,112.0,119.0
T-ROC,M1,1498.0,110.0,132.0
CORSA,M1,1199.0,55.0,118.0
2008,M1,1499.0,96.0,127.0
SANDERO,M1,999.0,74.0,108.0
208,M1,1499.0,75.0,106.0
ZOE,M1,,51.0,0.0
TOYOTA RAV4,M1,2487.0,131.0,131.0
CLIO,M1,999.0,67.0,118.0
I10,M1,998.0,49.0,118.0
XT4,M1,1998.0,169.0,213.0
CORSA,M1,,57.0,0.0
EQ FORFOUR,M1,,41.0,0.0
C-HR,M1,1987.0,112.0,120.0
Q3,M1,1498.0,110.0,148.0
PROACE,M1,1997.0,110.0,148.0
ATECA,M1,1498.0,110.0,157.0
MINI,M1,1499.0,92.0,41.0
TIGUAN,M1,1395.0,110.0,40.0
MINI,M1,,75.0,0.0
DS 7 CROSSBACK,M1,1598.0,133.0,32.0
DS 4,M1,1598.0,132.0,32.0
RENEGADE,M1,1598.0,96.0,136.0
PUMA,M1,1499.0,88.0,119.0
GLE 350 de 4MATIC,M1,1950.0,143.0,23.0
MICRA,M1,999.0,68.0,145.0
OUTLANDER,M1,2360.0,99.0,46.0
SQ2,M1,1984.0,221.0,191.0
208,M1,,57.0,0.0
MAZDA CX-5,M1,1998.0,121.0,154.0
FIAT DUCATO,M1,2287.0,103.0,261.0
Q4 SPORTBACK 40 E-TRON,M1,,70.0,0.0
XC60,M1G,1969.0,186.0,56.0
ARKANA,M1,1332.0,116.0,133.0
CORSA,M1,1199.0,55.0,118.0
PANDA,M1,999.0,52.0,118.0
QASHQAI,M1,1332.0,116.0,147.0
GOLF,M1,1984.0,180.0,172.0
IGNIS,M1,1197.0,61.0,122.0
XC40,M1,1477.0,95.0,48.0
C3,M1,1199.0,61.0,124.0
TUCSON,M1,1598.0,132.0,131.0
320D XDRIVE,M1,1995.0,140.0,144.0
TWINGO,M1,,31.0,0.0
C4,M1,1199.0,96.0,122.0
CAPTUR,M1,999.0,67.0,131.0
DUSTER,M1,999.0,67.0,124.0
GOLF,M1,1498.0,110.0,133.0
RAV4,M1,2487.0,131.0,132.0
UP!,M1,,61.0,0.0
PANDA,M1,999.0,52.0,123.0
TOYOTA YARIS,M1,1490.0,68.0,97.0
CEED,M1,1482.0,117.0,136.0
OCTAVIA,M1,999.0,81.0,120.0
TRAFFIC,M1,1997.0,88.0,191.0
ARTEON,M1,1968.0,147.0,163.0
SANDERO,M1,999.0,67.0,140.0
TWINGO,M1,999.0,48.0,117.0
Ceed,M1,998.0,88.0,126.0
MAZDA CX-3,M1,1998.0,89.0,160.0
POLO,M1,999.0,81.0,136.0
DUSTER,M1,999.0,67.0,130.0
CLIO,M1,1598.0,67.0,99.0
IGNIS,M1,1197.0,61.0,124.0
CLASSE GLC,M1,1950.0,143.0,54.0
SUPERB,M1,1984.0,140.0,165.0
V-Klasse,M1,1950.0,174.0,200.0
GLA,M1,1332.0,118.0,33.0
SWIFT,M1,1197.0,61.0,106.0
MULTIVAN,M1,1968.0,150.0,226.0
RENEGADE,M1,1332.0,110.0,150.0
TWINGO,M1,999.0,48.0,117.0
CR-V,M1,1993.0,135.0,163.0
420D,M1,1995.0,140.0,134.0
UP!,M1,999.0,48.0,118.0
5008,M1,1499.0,96.0,142.0
CAPTUR,M1,999.0,67.0,119.0
SANDERO,M1,999.0,67.0,128.0
MITSUBISHI ECLIPSE CROSS,M1,2360.0,72.0,46.0
116i,M1,1499.0,80.0,135.0
CAPTUR,M1,999.0,67.0,133.0
MAZDA CX-5,M1,1998.0,121.0,166.0
CORSA,M1,1499.0,75.0,107.0
MG RX6 PLUG-IN HYBRID,M1,1490.0,119.0,43.0
Puma,M1,1499.0,88.0,118.0
500,M1,999.0,51.0,119.0
POLO,M1,999.0,70.0,120.0
TOYOTA RAV4,M1,2487.0,131.0,133.0
PANDA,M1,999.0,52.0,126.0
FIAT 500,M1,999.0,52.0,106.0
SANDERO,M1,999.0,74.0,115.0
C3,M1,1499.0,75.0,112.0
SANDERO,M1,999.0,67.0,109.0
TIGUAN,M1,1968.0,110.0,156.0
DUSTER,M1,999.0,67.0,145.0
Q4 50 E-TRON,M1,,77.0,0.0
SCALA,M1,999.0,66.0,101.0
RIO,M1,998.0,74.0,118.0
CORSA,M1,1199.0,74.0,118.0
QASHQAI,M1,1332.0,103.0,144.0
NUEVO,M1,1199.0,61.0,123.0
218I,M1,1499.0,100.0,133.0
N 3008,M1,1499.0,96.0,137.0
CLA 180,M1,1332.0,100.0,139.0
LYNK & CO 01,M1,1477.0,132.0,27.0
POLO,M1,999.0,70.0,121.0
ZOE,M1,,51.0,0.0
I10,M1,998.0,74.0,123.0
CLIO,M1,1461.0,63.0,109.0
KONA,M1,998.0,88.0,136.0
V-KLASSE,M1,1950.0,140.0,203.0
POLO,M1,999.0,70.0,129.0
"KONA, KAUAI",M1,,,0.0
FIAT 500X,M1,1248.0,70.0,124.0
TOYOTA AYGO,M1,998.0,53.0,111.0
FOCUS COOL & CONNECT,M1,999.0,92.0,137.0
TUCSON IX35,M1,1598.0,132.0,130.0
COUNTRYMAN ONE,M1,1499.0,75.0,141.0
X6 XDRIVE30D,M1G,2993.0,210.0,184.0
GOLF GTE,M1,1395.0,110.0,27.0
318D,M1,1995.0,110.0,126.0
SCALA,M1,1498.0,110.0,
NIRO,M1,1580.0,77.0,31.0
2008,M1,1199.0,96.0,127.0
MAZDA2/G90/TAKUMI,M1,1496.0,66.0,120.0
ID.4 PRO 150 KW,M1,,150.0,0.0
XC40,M1,,150.0,0.0
POLO,M1,999.0,70.0,124.0
SPACE,M1,1193.0,59.0,113.0
C3 AIRCROSS,M1,1199.0,81.0,135.0
208,M1,1199.0,74.0,120.0
LADA 4X4,M1G,1690.0,61.0,245.0
YPSILON,M1,999.0,52.0,111.0
NUEVO,M1,1499.0,75.0,112.0
FOCUS,M1,999.0,92.0,128.0
C3,M1,1199.0,61.0,126.0
BERLINGO,M1,1199.0,81.0,146.0
SANDERO,M1,999.0,67.0,140.0
ONE,M1,1499.0,75.0,124.0
POLO,M1,999.0,81.0,134.0
320d xDrive,M1,1995.0,140.0,137.0
JUKE,M1,999.0,84.0,135.0
NISSAN QASHQAI,M1,1332.0,103.0,145.0
I10,M1,1197.0,61.0,124.0
420D XDRIVE,M1,1995.0,140.0,133.0
LODGY,M1,1332.0,96.0,146.0
Q5,M1,1984.0,195.0,195.0
CEED,M1,998.0,88.0,134.0
MEGANE E-TECH PLUG-IN HYBRID,M1,1598.0,67.0,30.0
TWINGO,M1,,60.0,0.0
GLC 200 d,M1,1950.0,120.0,168.0
CAPTUR,M1,999.0,67.0,134.0
TWINGO,M1,999.0,48.0,117.0
CLIO,M1,999.0,49.0,119.0
MODEL 3,M1,,100.0,0.0
CX-30,M1,1998.0,110.0,143.0
DS 7 CROSSBACK,M1,1499.0,96.0,140.0
POLO,M1,999.0,70.0,121.0
UP!,M1,999.0,48.0,116.0
JUKE,M1,999.0,86.0,142.0
i 30,M1,1498.0,80.0,134.0
GRANDLAND X,M1,1598.0,147.0,30.0
Horizon RS Plus,M1,1499.0,75.0,150.0
A3 LIMOUSINE,M1,1498.0,110.0,127.0
SCENIC,M1,1332.0,103.0,151.0
OCTAVIA,M1,1968.0,110.0,115.0
POLO,M1,999.0,70.0,127.0
Kuga,M1,1995.0,110.0,128.0
ENYAQ 80,M1,,150.0,0.0
KAMIQ,M1,999.0,81.0,134.0
5008,M1,1499.0,96.0,152.0
E-C4,M1,,57.0,0.0
SCALA,M1,999.0,85.0,125.0
500,M1,999.0,51.0,114.0
MODEL 3,M1,,88.0,0.0
2008,M1,1199.0,96.0,136.0
M1 35I XDRIVE,M1,1998.0,225.0,167.0
508,M1,1598.0,133.0,30.0
SERIE 1,M1,1499.0,100.0,134.0
SANDERO,M1,999.0,49.0,121.0
SANTA FE,M1,2151.0,148.0,179.0
MOKKA,M1,1199.0,96.0,126.0
A5 SPORTBACK,M1,1984.0,110.0,145.0
TWINGO,M1,,31.0,0.0
COUNTRYMAN COOPER SE ALL4,M1,1499.0,92.0,
RIO,M1,998.0,74.0,121.0
A3 SPORTBACK,M1,1498.0,110.0,136.0
FOCUS,M1,999.0,92.0,146.0
Q3 SPORTBACK E-TRON,M1,1395.0,110.0,45.0
308,M1,1499.0,96.0,123.0
COROLLA,M1,1598.0,97.0,138.0
PUMA,M1,999.0,91.0,121.0
CEED,M1,1353.0,103.0,141.0
CEED,M1,1482.0,118.0,136.0
MINI,M1,1499.0,100.0,140.0
PICANTO,M1,998.0,49.0,119.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,112.0
318D,M1,1995.0,110.0,127.0
GLE 580 4MATIC,M1G,3982.0,360.0,269.0
KAROQ,M1,1968.0,85.0,131.0
E-TRON 55,M1,,158.0,0.0
LEON,M1,999.0,81.0,127.0
XC40,M1,1477.0,95.0,160.0
CORSA,M1,,100.0,0.0
I20,M1,998.0,74.0,118.0
VITARA,M1,1373.0,95.0,122.0
PASSAT,M1,1968.0,110.0,124.0
ECOSPORT,M1,998.0,92.0,135.0
TIGUAN,M1,1395.0,110.0,44.0
MOKKA,M1,,57.0,0.0
C5 AIRCROSS,M1,1598.0,133.0,32.0
C3 AIRCROSS,M1,1499.0,81.0,122.0
PROACE,M1,1499.0,88.0,169.0
